ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,backers,outcome
1741,"Astropolis II - The Galactic Melting Pot","Tabletop Games",DE,"2017-05-29 00:00:00","2017-06-18 00:00:00",4469.22,20793.06,EUR,200,successful
14384,"Corporate America: The Political Satire Board Game","Tabletop Games",US,"2012-10-16 00:00:00","2012-11-15 00:00:00",20000,20732.2,USD,326,successful
3602,"Dicenstein! (Canceled)","Tabletop Games",US,"2015-06-18 00:00:00","2015-07-19 00:00:00",25000,20682,USD,310,canceled
12146,"Battle Merchants - Economic Board Game","Tabletop Games",US,"2013-09-03 00:00:00","2013-10-04 00:00:00",18000,20680,USD,394,successful
5762,"Dominion Storage Case","Tabletop Games",US,"2013-06-25 00:00:00","2013-07-25 00:00:00",8300,20512,USD,184,successful
13599,"DAC: Dungeon Architect Cards","Tabletop Games",US,"2015-02-25 00:00:00","2015-03-27 00:00:00",1000,20270,USD,916,successful
13947,"War in Christmas Village sequels. Tabletop gaming mini","Tabletop Games",US,"2017-12-05 00:00:00","2018-01-06 00:00:00",3000,19495,USD,257,live
13509,"Ravn Playing Cards - Purple Haze","Playing Cards",SE,"2017-04-17 00:00:00","2017-05-01 00:00:00",13578.96,19069.16,SEK,475,successful
10917,"Silver Arrow, Luxury playing cards by Jackson Robinson","Playing Cards",US,"2014-10-11 00:00:00","2014-10-31 00:00:00",50000,18826,USD,484,canceled
12420,"Battle for Sularia: The Battle Begins™","Tabletop Games",US,"2015-06-23 00:00:00","2015-07-29 00:00:00",15000,18721.51,USD,337,successful
4888,"Dead Meat: Quarantine Zone America™","Tabletop Games",US,"2014-10-31 00:00:00","2014-11-26 00:00:00",80000,18649.51,USD,176,failed
10718,"Infected Zombie RPG by Immersion Studios","Tabletop Games",AU,"2015-08-16 00:00:00","2015-09-20 00:00:00",8418.69,18607.41,AUD,308,successful
1004,"The Coven - Playing Cards","Playing Cards",GB,"2015-01-01 00:00:00","2015-01-31 00:00:00",14552.03,18505.58,GBP,793,successful
5236,Anthromancer,"Tabletop Games",US,"2017-08-21 00:00:00","2017-09-20 00:00:00",50000,18436,USD,214,failed
14936,"Island Siege Card Game","Tabletop Games",US,"2013-02-02 00:00:00","2013-02-25 00:00:00",17000,18294,USD,336,successful
847,"Autumn Snow 2: The Wildlands Hunt","Tabletop Games",FR,"2017-01-28 00:00:00","2017-02-27 00:00:00",4226.01,18252.12,EUR,228,successful
14956,"GREATER EVIL: The political bullshit game","Tabletop Games",US,"2016-01-25 00:00:00","2016-02-24 00:00:00",15000,18230.52,USD,406,successful
8243,"Baseball Highlights 2045 - New Card Game by Mike Fitzgerald","Tabletop Games",US,"2014-03-07 00:00:00","2014-04-03 00:00:00",10000,17867,USD,394,successful
5163,"Buy the Rights: The Movie Pitching Party Game","Tabletop Games",US,"2015-11-09 00:00:00","2015-12-11 00:00:00",15000,17550,USD,471,successful
12715,"Love Tove","Tabletop Games",SE,"2017-12-11 00:00:00","2018-01-10 00:00:00",3085.16,17432.77,SEK,371,canceled
8423,AhHereNow,"Playing Cards",IE,"2016-02-16 00:00:00","2016-03-18 00:00:00",16918.57,17365.8,EUR,254,successful
6069,"Wizards of the Wild - The Forbidden Forest","Tabletop Games",US,"2017-05-11 00:00:00","2017-06-02 00:00:00",7500,17123.16,USD,621,successful
14530,"Cool Dice Bags...with dice inside!","Tabletop Games",US,"2017-12-11 00:00:00","2017-12-31 00:00:00",500,17064,USD,685,successful
4751,"Wits & Wagers Epic Geek Edition (Canceled)","Tabletop Games",US,"2015-11-11 00:00:00","2015-12-12 00:00:00",100000,16637,USD,296,canceled
4519,"Haggis & Ross Clan deck","Tabletop Games",US,"2013-06-13 00:00:00","2013-06-26 00:00:00",10000,16410.5,USD,811,successful
13533,"Sabotile: Isles of Hexoté - A Tile-Laying Board Game","Tabletop Games",US,"2016-03-14 00:00:00","2016-04-18 00:00:00",50000,16246.01,USD,294,canceled
10166,"Mouse Adventure by Cartoon Miniatures","Tabletop Games",NL,"2017-11-29 00:00:00","2017-12-29 00:00:00",3597.9,16238.52,EUR,144,successful
13384,"Gunship: Afterburners!","Tabletop Games",US,"2013-08-07 00:00:00","2013-09-06 00:00:00",12000,16179,USD,265,successful
